"cells","groupID.1","groupID.2","groupID.3","groupID.4","groupID.5","groupID.6","groupID.7","groupID.8","groupID.9","groupID.10","groupID.11","groupID.12","groupID.13","groupID.14","groupID.15","groupID.16","groupID.17","groupID.18","groupID.19","groupID.20","groupID.21","groupID.22","groupID.23","groupID.24","groupID.25","groupID.26","groupID.27","groupID.28","x","y","wq"
49,179219.145678489,198238.909852175,221028.348789902,188134.867326332,194261.507753389,224376.268496545,164739.612128843,220306.054001562,227894.983966968,211202.310421981,174222.154404094,232394.169837086,104265.117439392,106498.441326584,92606.3813947777,87955.4962039787,62263.3103995143,57451.8518619252,36996.9277422758,26723.1525713182,27791.0509091366,27294.0333111926,47818.1177800514,49607.878445161,26638.8928611034,41955.4939287456,134899.953237773,112986.625540948,767623.147961973,8222875.85892891,0.740382831233963
50,182032.731845723,201052.496019409,223841.934957136,185321.281159098,191447.921586155,221562.682329311,167553.198296077,217492.467834328,225081.397799734,214015.896589215,177035.740571328,229580.583669852,107078.703606626,109312.027493818,95419.9675620117,90769.0823712128,65076.8965667483,58617.2774112989,38162.3532916494,27888.5781206919,26625.625359763,26128.607761819,48983.5433294251,50773.3039945347,25238.0157948925,39141.9077615115,137713.539405007,115800.211708182,770744.100685291,8222875.85892891,0.789306187627266
51,185248.258893991,204268.023067677,227057.462005403,182105.754110831,188232.394537888,218347.155281043,170768.725344345,214276.94078606,221865.870751466,217231.423637482,180251.267619596,226365.056621584,110294.230654894,112527.554542086,98635.4946102792,93984.6094194803,68292.4236150158,61361.9014258921,39494.2682052193,29220.4930342618,27957.5402733329,24796.6928482491,50315.458242995,52105.2189081046,23906.1008813226,35926.380713244,140929.066453275,119015.73875645,773865.05340861,8222875.85892891,0.774181789571138
52,188463.785942258,207483.550115944,230272.989053671,178890.227062563,185016.86748962,215131.628232776,173984.252392612,211061.413737793,218650.343703199,220446.950685749,183466.794667863,223149.529573317,113509.757703161,115743.081590353,101851.021658547,97200.1364677478,71507.9506632833,64577.4284741596,40826.1831187893,30552.4079478317,29289.4551869028,24463.7141198566,51647.373156565,53437.1338216745,22574.1859677527,32769.7165441858,144144.593501542,122231.265804717,776986.006131928,8222875.85892891,0.711997754274598
53,191679.312990525,210699.077164212,230717.357084664,175674.700014296,181801.340441353,211916.101184508,177199.779440879,207845.886689525,215434.816654931,223662.477734017,186682.321716131,219934.002525049,116725.284751429,118958.608638621,105066.548706814,100415.663516015,74723.4777115508,67792.9555224271,42158.0980323592,31884.3228614016,30621.3701004726,25629.1396692303,52979.2880701349,54945.6373728724,21242.2710541828,30319.4069256392,147360.120549809,125446.792852985,780106.958855247,8222875.85892891,0.789885159020379
54,194492.899157759,213512.663331446,228916.569193654,172861.113847062,178987.754274119,209102.515017274,180013.365608113,205032.300522291,212621.230487697,226476.063901251,189495.907883365,217120.416357815,119538.870918663,121772.194805855,107880.134874048,103229.249683249,77537.0638787849,70606.5416896611,43323.5235817329,33049.7484107752,31786.7956498463,26794.5652186039,54144.7136195086,56640.8288351297,20243.3348690054,28329.9010673353,150173.706717043,128260.379020219,783227.911578565,8222875.85892891,0.771760036923142
55,197708.426206027,216728.190379713,225701.042145386,169645.586798795,175772.227225852,205886.987969007,183228.892656381,201816.773474024,209405.70343943,229691.590949518,192711.434931632,213904.889309548,122754.397966931,124987.721854123,111095.661922316,106444.776731517,80752.5909270524,73822.0687379286,44890.89001214,34381.6633243452,33118.7105634162,28126.4801321738,55712.0800499157,58443.6467823741,20409.8242332016,26291.6316032538,153389.233765311,131475.906068486,786348.864301884,8222875.85892891,0.705335755995314
56,200923.953254294,219943.71742798,222485.515097119,166430.059750527,172556.700177584,202671.460920739,186444.419704648,198601.246425757,206190.176391163,232722.580938953,195926.961979899,210689.362261281,125969.925015198,128203.24890239,114311.188970583,109660.303779784,83968.1179753199,77037.5957861961,48106.4170604075,35949.0297547523,34450.6254769861,29458.3950457437,58927.6070981832,61659.1738306416,21741.7391467715,24959.7166896839,156604.760813578,134691.433116754,789469.817025202,8222875.85892891,0.707172212824724
57,204139.480302562,223159.244476248,219269.988048851,163214.53270226,169341.173129317,199455.933872472,189659.946752916,195385.719377489,202974.649342895,233556.287699999,199142.489028167,207473.835213013,129185.452063466,131418.775950658,117526.716018851,112875.830828052,87183.6450235873,80253.1228344636,51321.944108675,38693.6537693454,35782.5403905561,30790.3099593136,62143.1341464508,64874.7008789091,23073.6540603414,23627.801776114,159820.287861846,137906.960165021,792590.769748521,8222875.85892891,0.697969477666058
58,206953.066469796,225972.830643482,216456.401881617,160400.946535026,166527.586962083,196642.347705238,192473.53292015,192572.133210255,200161.063175661,232462.360213578,201956.075195401,204660.249045779,131999.0382307,134232.362117892,120340.302186085,115689.416995286,89997.2311908214,83066.7090016977,54135.5302759091,41507.2399365795,38360.6750409529,31955.7355086873,64956.7203136849,67688.2870461432,24239.0796097151,22462.3762267403,162633.87402908,140720.546332255,795711.722471839,8222875.85892891,0.702773947845192
